,000001.SZ
2019-10-16,109.1694
2019-10-17,109.1694
2019-10-18,109.1694
2019-10-21,109.169426
2019-10-22,109.169426
2019-10-23,109.169426
2019-10-24,109.169426
2019-10-25,109.169426
2019-10-28,109.169426
2019-10-29,109.169426
2019-10-30,109.169426
2019-10-31,109.169426
2019-11-01,109.169426
2019-11-04,109.169426
2019-11-05,109.169426
2019-11-06,109.169426
2019-11-07,109.169426
2019-11-08,109.169426
2019-11-11,109.169426
2019-11-12,109.169426
2019-11-13,109.169426
2019-11-14,109.169426
2019-11-15,109.169426
2019-11-18,109.169426
2019-11-19,109.169426
2019-11-20,109.169426
2019-11-21,109.169426
2019-11-22,109.169426
2019-11-25,109.169426
2019-11-26,109.169426
2019-11-27,109.169426
2019-11-28,109.169426
2019-11-29,109.169426
2019-12-02,109.169426
2019-12-03,109.169426
2019-12-04,109.169426
2019-12-05,109.169426
2019-12-06,109.169426
2019-12-09,109.169426
2019-12-10,109.169426
2019-12-11,109.169426
2019-12-12,109.169426
2019-12-13,109.169426
2019-12-16,109.169426
2019-12-17,109.169426
2019-12-18,109.169426
2019-12-19,109.169426
2019-12-20,109.169426
2019-12-23,109.169426
2019-12-24,109.169426
2019-12-25,109.169426
2019-12-26,109.169426
2019-12-27,109.169426
2019-12-30,109.169426
2019-12-31,109.169426
2020-01-02,109.169426
2020-01-03,109.169426
2020-01-06,109.169426
2020-01-07,109.169426
2020-01-08,109.169426
2020-01-09,109.169426
2020-01-10,109.169426
2020-01-13,109.169426
2020-01-14,109.169426
2020-01-15,109.169426
2020-01-16,109.169426
2020-01-17,109.169426
2020-01-20,109.169426
2020-01-21,109.169426
2020-01-22,109.169426
2020-01-23,109.169426
2020-02-03,109.169426
2020-02-04,109.169426
2020-02-05,109.169426
2020-02-06,109.169426
2020-02-07,109.169426
2020-02-10,109.169426
2020-02-11,109.169426
2020-02-12,109.169426
2020-02-13,109.169426
2020-02-14,109.169426
2020-02-17,109.169426
2020-02-18,109.169426
2020-02-19,109.169426
2020-02-20,109.169426
2020-02-21,109.169426
2020-02-24,109.169426
2020-02-25,109.169426
2020-02-26,109.169426
2020-02-27,109.169426
2020-02-28,109.169426
2020-03-02,109.169426
2020-03-03,109.169426
2020-03-04,109.169426
2020-03-05,109.169426
2020-03-06,109.169426
2020-03-09,109.169426
2020-03-10,109.169426
2020-03-11,109.169426
2020-03-12,109.169426
2020-03-13,109.169426
2020-03-16,109.169426
2020-03-17,109.169426
2020-03-18,109.169426
2020-03-19,109.169426
2020-03-20,109.169426
2020-03-23,109.169426
2020-03-24,109.169426
2020-03-25,109.169426
2020-03-26,109.169426
2020-03-27,109.169426
2020-03-30,109.169426
2020-03-31,109.169426
2020-04-01,109.169426
2020-04-02,109.169426
2020-04-03,109.169426
2020-04-07,109.169426
2020-04-08,109.169426
2020-04-09,109.169426
2020-04-10,109.169426
2020-04-13,109.169426
2020-04-14,109.169426
2020-04-15,109.169426
2020-04-16,109.169426
2020-04-17,109.169426
2020-04-20,109.169426
2020-04-21,109.169426
2020-04-22,109.169426
2020-04-23,109.169426
2020-04-24,109.169426
2020-04-27,109.169426
2020-04-28,109.169426
2020-04-29,109.169426
2020-04-30,109.169426
2020-05-06,109.169426
2020-05-07,109.169426
2020-05-08,109.169426
2020-05-11,109.169426
2020-05-12,109.169426
2020-05-13,109.169426
2020-05-14,109.169426
2020-05-15,109.169426
2020-05-18,109.169426
2020-05-19,109.169426
2020-05-20,109.169426
2020-05-21,109.169426
2020-05-22,109.169426
2020-05-25,109.169426
2020-05-26,109.169426
2020-05-27,109.169426
2020-05-28,111.04871
2020-05-29,111.04871
2020-06-01,111.04871
2020-06-02,111.04871
2020-06-03,111.04871
2020-06-04,111.04871
2020-06-05,111.04871
2020-06-08,111.04871
2020-06-09,111.04871
2020-06-10,111.04871
2020-06-11,111.04871
2020-06-12,111.04871
2020-06-15,111.04871
2020-06-16,111.04871
2020-06-17,111.04871
2020-06-18,111.04871
2020-06-19,111.04871
2020-06-22,111.04871
2020-06-23,111.04871
2020-06-24,111.04871
2020-06-29,111.04871
2020-06-30,111.04871
2020-07-01,111.04871
2020-07-02,111.04871
2020-07-03,111.04871
2020-07-06,111.04871
2020-07-07,111.04871
2020-07-08,111.04871
2020-07-09,111.04871
2020-07-10,111.04871
2020-07-13,111.04871
2020-07-14,111.04871
2020-07-15,111.04871
2020-07-16,111.04871
2020-07-17,111.04871
2020-07-20,111.04871
2020-07-21,111.04871
2020-07-22,111.04871
2020-07-23,111.04871
2020-07-24,111.04871
2020-07-27,111.04871
2020-07-28,111.04871
2020-07-29,111.04871
2020-07-30,111.04871
2020-07-31,111.04871
2020-08-03,111.04871
2020-08-04,111.04871
2020-08-05,111.04871
2020-08-06,111.04871
2020-08-07,111.04871
2020-08-10,111.04871
2020-08-11,111.04871
2020-08-12,111.04871
2020-08-13,111.04871
2020-08-14,111.04871
2020-08-17,111.04871
2020-08-18,111.04871
2020-08-19,111.04871
2020-08-20,111.04871
2020-08-21,111.04871
2020-08-24,111.04871
2020-08-25,111.04871
2020-08-26,111.04871
2020-08-27,111.04871
2020-08-28,111.04871
2020-08-31,111.04871
2020-09-01,111.04871
2020-09-02,111.04871
2020-09-03,111.04871
2020-09-04,111.04871
2020-09-07,111.04871
2020-09-08,111.04871
2020-09-09,111.04871
2020-09-10,111.04871
2020-09-11,111.04871
2020-09-14,111.04871
2020-09-15,111.04871
2020-09-16,111.04871
2020-09-17,111.04871
2020-09-18,111.04871
2020-09-21,111.04871
2020-09-22,111.04871
2020-09-23,111.04871
2020-09-24,111.04871
2020-09-25,111.04871
2020-09-28,111.04871
2020-09-29,111.04871
2020-09-30,111.04871
2020-10-09,111.04871
2020-10-12,111.04871
2020-10-13,111.04871
2020-10-14,111.04871
2020-10-15,111.04871
2020-10-16,111.04871
2020-10-19,111.04871
2020-10-20,111.04871
2020-10-21,111.04871
2020-10-22,111.04871
2020-10-23,111.04871
2020-10-26,111.04871
2020-10-27,111.04871
2020-10-28,111.04871
2020-10-29,111.04871
2020-10-30,111.04871
2020-11-02,111.04871
2020-11-03,111.04871
2020-11-04,111.04871
2020-11-05,111.04871
2020-11-06,111.04871
2020-11-09,111.04871
2020-11-10,111.04871
2020-11-11,111.04871
2020-11-12,111.04871
2020-11-13,111.04871
2020-11-16,111.04871
2020-11-17,111.04871
2020-11-18,111.04871
2020-11-19,111.04871
2020-11-20,111.04871
2020-11-23,111.04871
2020-11-24,111.04871
2020-11-25,111.04871
2020-11-26,111.04871
2020-11-27,111.04871
2020-11-30,111.04871
2020-12-01,111.04871
2020-12-02,111.04871
2020-12-03,111.04871
2020-12-04,111.04871
2020-12-07,111.04871
2020-12-08,111.04871
2020-12-09,111.04871
2020-12-10,111.04871
2020-12-11,111.04871
2020-12-14,111.04871
2020-12-15,111.04871
2020-12-16,111.04871
2020-12-17,111.04871
2020-12-18,111.04871
2020-12-21,111.04871
2020-12-22,111.04871
2020-12-23,111.04871
2020-12-24,111.04871
2020-12-25,111.04871
2020-12-28,111.04871
2020-12-29,111.04871
2020-12-30,111.04871
2020-12-31,111.04871
2021-01-04,111.04871
2021-01-05,111.04871
2021-01-06,111.04871
2021-01-07,111.04871
2021-01-08,111.04871
2021-01-11,111.04871
2021-01-12,111.04871
2021-01-13,111.04871
2021-01-14,111.04871
2021-01-15,111.04871
2021-01-18,111.04871
2021-01-19,111.04871
2021-01-20,111.04871
2021-01-21,111.04871
2021-01-22,111.04871
2021-01-25,111.04871
2021-01-26,111.04871
2021-01-27,111.04871
2021-01-28,111.04871
2021-01-29,111.04871
2021-02-01,111.04871
2021-02-02,111.04871
2021-02-03,111.04871
2021-02-04,111.04871
2021-02-05,111.04871
2021-02-08,111.04871
2021-02-09,111.04871
2021-02-10,111.04871
