,000001.SZ
2020-10-20,17.54
2020-10-21,17.91
2020-10-22,17.56
2020-10-23,18.13
2020-10-26,17.7
2020-10-27,17.76
2020-10-28,17.63
2020-10-29,17.77
2020-10-30,17.75
2020-11-02,17.63
2020-11-03,17.96
2020-11-04,18.32
2020-11-05,17.7
2020-11-06,17.64
2020-11-09,17.84
2020-11-10,18.11
2020-11-11,17.81
2020-11-12,17.66
2020-11-13,17.18
2020-11-16,17.37
2020-11-17,17.83
2020-11-18,18.46
2020-11-19,18.85
2020-11-20,18.86
2020-11-23,19.62
2020-11-24,19.36
2020-11-25,19.06
2020-11-26,19.5
2020-11-27,19.7
2020-11-30,19.74
2020-12-01,20.05
2020-12-02,19.63
2020-12-03,19.54
2020-12-04,19.3
2020-12-07,18.91
2020-12-08,18.71
2020-12-09,18.71
2020-12-10,18.65
2020-12-11,18.52
2020-12-14,18.88
2020-12-15,18.74
2020-12-16,19.01
2020-12-17,18.95
2020-12-18,18.36
2020-12-21,18.28
2020-12-22,17.9
2020-12-23,18.0
2020-12-24,18.26
2020-12-25,18.04
2020-12-28,18.85
2020-12-29,19.17
2020-12-30,19.2
2020-12-31,19.34
2021-01-04,18.6
2021-01-05,18.17
2021-01-06,19.56
2021-01-07,19.9
2021-01-08,19.85
2021-01-11,20.38
2021-01-12,21.0
2021-01-13,20.7
2021-01-14,20.17
2021-01-15,21.0
2021-01-18,22.7
2021-01-19,22.34
2021-01-20,22.47
2021-01-21,22.23
2021-01-22,22.03
2021-01-25,22.49
2021-01-26,22.37
2021-01-27,23.08
2021-01-28,22.81
2021-01-29,23.09
2021-02-01,24.55
2021-02-02,23.28
2021-02-03,24.95
2021-02-04,24.6
2021-02-05,24.93
2021-02-08,24.8
2021-02-09,24.58
2021-02-10,23.82
